DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3/26/2018,11:27,MANHATTAN,10017,,,,E 48TH STREET                   ,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869666,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,11:30,BROOKLYN,11220,40.63407,-74.01332,"(40.63407, -74.01332)",,,730       64 STREET                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3870473,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,11:30,MANHATTAN,10002,40.72161,-73.98904,"(40.72161, -73.98904)",ALLEN STREET                    ,STANTON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3870039,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,11:30,MANHATTAN,10021,40.769753,-73.95458,"(40.769753, -73.95458)",1 AVENUE                        ,EAST 75 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3870812,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,11:30,STATEN ISLAND,10304,40.61167,-74.08834,"(40.61167, -74.08834)",RICHMOND ROAD                   ,LONGVIEW ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3870381,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,11:35,BRONX,10453,40.85673,-73.90279,"(40.85673, -73.90279)",EAST 182 STREET                 ,MORRIS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3870894,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,11:35,QUEENS,11364,40.73447,-73.7542,"(40.73447, -73.7542)",UNION TURNPIKE                  ,217 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869688,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,11:35,,,40.63851,-74.021225,"(40.63851, -74.021225)",GOWANUS EXPY (BQE)              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869786,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,11:40,,,40.70789,-73.84652,"(40.70789, -73.84652)",JACKIE ROBINSON PKWY            ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3869692,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,11:45,,,,,,FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869878,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
